441,Motor vehicle and parts dealers,"100,431","100,089","103,486","103,079","103,496","104,199","104,337",,,,,,,,
442,Furniture and home furnishings stores,"9,534","9,590","9,725","9,800","9,789","9,754","9,755",,,,,,,,
443,Electronics and appliance stores,"8,276","8,109","8,171","8,079","8,165","8,127","8,198",,,,,,,,
444,Building mat. and garden equip. and supplies dealers,"33,654","31,497","31,782","31,479","30,918","31,152","31,468",,,,,,,,
445,Food and beverage stores,"64,341","62,849","64,025","64,248","64,439","64,970","65,872",,,,,,,,
446,Health and personal care stores,"29,408","29,442","29,549","29,686","29,927","29,825","29,797",,,,,,,,
447,Gasoline stations,"40,114","41,509","42,896","43,561","43,467","42,383","42,974",,,,,,,,
448,Clothing and clothing access. stores,"22,306","21,979","22,451","22,413","22,385","22,425","22,724",,,,,,,,
451,"Sporting goods, hobby, musical instrument, and book stores","6,402","6,411","6,421","6,512","6,518","6,596","6,519",,,,,,,,
722,Food services and drinking places,"61,973","62,360","62,856","63,313","63,996","64,509","64,867",,,,,,,,
 ,,,,,,,,,,,,,,,,
