per_idx,per_name
1,01/01/92
2,02/01/92
3,03/01/92
4,04/01/92
5,05/01/92
6,06/01/92
7,07/01/92
8,08/01/92
9,09/01/92
10,10/01/92
11,11/01/92
12,12/01/92
13,01/01/93
14,02/01/93
15,03/01/93
16,04/01/93
17,05/01/93
18,06/01/93
19,07/01/93
20,08/01/93
21,09/01/93
22,10/01/93
23,11/01/93
24,12/01/93
25,01/01/94
26,02/01/94
27,03/01/94
28,04/01/94
29,05/01/94
30,06/01/94
31,07/01/94
32,08/01/94
33,09/01/94
34,10/01/94
35,11/01/94
36,12/01/94
37,01/01/95
38,02/01/95
39,03/01/95
40,04/01/95
41,05/01/95
42,06/01/95
43,07/01/95
44,08/01/95
45,09/01/95
46,10/01/95
47,11/01/95
48,12/01/95
49,01/01/96
50,02/01/96
51,03/01/96
52,04/01/96
53,05/01/96
54,06/01/96
55,07/01/96
56,08/01/96
57,09/01/96
58,10/01/96
59,11/01/96
60,12/01/96
61,01/01/97
62,02/01/97
63,03/01/97
64,04/01/97
65,05/01/97
66,06/01/97
67,07/01/97
68,08/01/97
69,09/01/97
70,10/01/97
71,11/01/97
72,12/01/97
73,01/01/98
74,02/01/98
75,03/01/98
76,04/01/98
77,05/01/98
78,06/01/98
79,07/01/98
80,08/01/98
81,09/01/98
82,10/01/98
83,11/01/98
84,12/01/98
85,01/01/99
86,02/01/99
87,03/01/99
88,04/01/99
89,05/01/99
90,06/01/99
91,07/01/99
92,08/01/99
93,09/01/99
94,10/01/99
95,11/01/99
96,12/01/99
97,01/01/00
98,02/01/00
99,03/01/00
100,04/01/00
101,05/01/00
102,06/01/00
103,07/01/00
104,08/01/00
105,09/01/00
106,10/01/00
107,11/01/00
108,12/01/00
109,01/01/19
110,02/01/19
111,03/01/19
112,04/01/19
113,05/01/19
114,06/01/19
115,07/01/19
116,08/01/19
117,09/01/19
118,10/01/19
119,11/01/19
120,12/01/19
121,01/02/19
122,02/02/19
123,03/02/19
124,04/02/19
125,05/02/19
126,06/02/19
127,07/02/19
128,08/02/19
129,09/02/19
130,10/02/19
131,11/02/19
132,12/02/19
133,01/03/19
134,02/03/19
135,03/03/19
136,04/03/19
137,05/03/19
138,06/03/19
139,07/03/19
140,08/03/19
141,09/03/19
142,10/03/19
143,11/03/19
144,12/03/19
145,01/04/19
146,02/04/19
147,03/04/19
148,04/04/19
149,05/04/19
150,06/04/19
151,07/04/19
152,08/04/19
153,09/04/19
154,10/04/19
155,11/04/19
156,12/04/19
157,01/05/19
158,02/05/19
159,03/05/19
160,04/05/19
161,05/05/19
162,06/05/19
163,07/05/19
164,08/05/19
165,09/05/19
166,10/05/19
167,11/05/19
168,12/05/19
169,01/06/19
170,02/06/19
171,03/06/19
172,04/06/19
173,05/06/19
174,06/06/19
175,07/06/19
176,08/06/19
177,09/06/19
178,10/06/19
179,11/06/19
180,12/06/19
181,01/07/19
182,02/07/19
183,03/07/19
184,04/07/19
185,05/07/19
186,06/07/19
187,07/07/19
188,08/07/19
189,09/07/19
190,10/07/19
191,11/07/19
192,12/07/19
193,01/08/19
194,02/08/19
195,03/08/19
196,04/08/19
197,05/08/19
198,06/08/19
199,07/08/19
200,08/08/19
201,09/08/19
202,10/08/19
203,11/08/19
204,12/08/19
205,01/09/19
206,02/09/19
207,03/09/19
208,04/09/19
209,05/09/19
210,06/09/19
211,07/09/19
212,08/09/19
213,09/09/19
214,10/09/19
215,11/09/19
216,12/09/19
217,01/10/19
218,02/10/19
219,03/10/19
220,04/10/19
221,05/10/19
222,06/10/19
223,07/10/19
224,08/10/19
225,09/10/19
226,10/10/19
227,11/10/19
228,12/10/19
229,01/11/19
230,02/11/19
231,03/11/19
232,04/11/19
233,05/11/19
234,06/11/19
235,07/11/19
236,08/11/19
237,09/11/19
238,10/11/19
239,11/11/19
240,12/11/19
241,01/12/19
242,02/12/19
243,03/12/19
244,04/12/19
245,05/12/19
246,06/12/19
247,07/12/19
248,08/12/19
249,09/12/19
250,10/12/19
251,11/12/19
252,12/12/19
253,01/13/19
254,02/13/19
255,03/13/19
256,04/13/19
257,05/13/19
258,06/13/19
259,07/13/19
260,08/13/19
261,09/13/19
262,10/13/19
263,11/13/19
264,12/13/19
265,01/14/19
266,02/14/19
267,03/14/19
268,04/14/19
269,05/14/19
270,06/14/19
271,07/14/19
272,08/14/19
273,09/14/19
274,10/14/19
275,11/14/19
276,12/14/19
277,01/15/19
278,02/15/19
279,03/15/19
280,04/15/19
281,05/15/19
282,06/15/19
283,07/15/19
284,08/15/19
285,09/15/19
286,10/15/19
287,11/15/19
288,12/15/19
289,01/16/19
290,02/16/19
291,03/16/19
292,04/16/19
293,05/16/19
294,06/16/19
295,07/16/19
296,08/16/19
297,09/16/19
298,10/16/19
299,11/16/19
300,12/16/19
301,01/17/19
302,02/17/19
303,03/17/19
304,04/17/19
305,05/17/19
306,06/17/19
307,07/17/19
308,08/17/19
309,09/17/19
310,10/17/19
311,11/17/19
312,12/17/19
313,01/18/19
314,02/18/19
315,03/18/19
316,04/18/19
317,05/18/19
318,06/18/19
319,07/18/19
320,08/18/19
321,09/18/19
322,10/18/19
323,11/18/19
324,12/18/19
325,01/19/19
326,02/19/19
327,03/19/19
328,04/19/19
329,05/19/19
330,06/19/19
331,07/19/19
