,NAICS_Code,NAICS,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Year
0,441,Motor vehicle and parts dealers,33478,33817,33336,33776,34357,34781,35199,34585,35890,35972,35928,36272,417391,1992
1,442,Furniture and home furnishings stores,4254,4342,4330,4359,4331,4401,4368,4372,4345,4299,4368,4428,52197,1992
2,443,Electronics and appliance stores,3874,3904,3916,3958,3981,3992,4081,4048,4098,4186,4118,4248,48404,1992
3,444,Building mat. and garden equip. and supplies dealers,10845,10904,10986,10738,10777,10790,10785,10915,10980,10971,10873,11082,130646,1992
4,445,Food and beverage stores,30437,30382,30526,30602,30718,30761,30963,31041,30942,31148,30992,31057,369569,1992
5,446,Health and personal care stores,7421,7425,7443,7516,7458,7417,7292,7508,7420,7535,7497,7526,89458,1992
6,447,Gasoline stations,12803,12601,12639,12710,12870,12886,12966,13092,13246,13304,13358,13475,155950,1992
7,448,Clothing and clothing access. stores,9716,9712,9669,9862,9755,9915,9957,10141,10154,10174,10076,10318,119449,1992
8,451,"Sporting goods, hobby, musical instrument, and book stores",3385,3516,3482,3535,3512,3549,3586,3512,3566,3607,3626,3800,42676,1992
9,722,Food services and drinking places,17170,16990,16916,16677,16602,16277,16496,16733,16812,17104,17420,17491,202688,1992
0,441,Motor vehicle and parts dealers,37621,36723,35955,38521,39006,38892,40290,40504,40203,40857,42077,42796,473445,1993
1,442,Furniture and home furnishings stores,4637,4507,4463,4564,4642,4609,4640,4645,4640,4663,4693,4693,55396,1993
2,443,Electronics and appliance stores,4395,4343,4383,4460,4485,4567,4642,4667,4729,4710,4741,4794,54916,1993
3,444,Building mat. and garden equip. and supplies dealers,11333,11410,11184,11417,11720,11669,11781,11875,11786,11908,12297,12583,140963,1993
4,445,Food and beverage stores,31045,31233,31058,31129,31164,31168,31349,31126,31201,31346,31363,31499,374681,1993
5,446,Health and personal care stores,7518,7651,7605,7683,7666,7680,7756,7678,7772,7758,7784,7989,92540,1993
6,447,Gasoline stations,13398,13596,13487,13539,13521,13461,13502,13372,13416,13755,13754,13627,162428,1993
7,448,Clothing and clothing access. stores,10581,10150,9916,10257,10386,10411,10593,10406,10549,10449,10475,10442,124615,1993
8,451,"Sporting goods, hobby, musical instrument, and book stores",3648,3585,3608,3749,3746,3702,3810,3804,3825,3817,3930,4018,45242,1993
9,722,Food services and drinking places,17553,17478,17554,17770,17821,18030,17927,18201,18515,18199,18153,18238,215439,1993
0,441,Motor vehicle and parts dealers,42660,43685,44475,45072,44098,44541,44477,45232,46314,47041,47203,46941,541739,1994
1,442,Furniture and home furnishings stores,4571,4775,4910,4916,4971,5018,5046,5165,5177,5260,5199,5254,60262,1994
2,443,Electronics and appliance stores,4837,4949,5052,5090,5185,5313,5330,5411,5508,5635,5753,5834,63897,1994
3,444,Building mat. and garden equip. and supplies dealers,12316,12233,12767,13076,13033,12987,13130,13224,13375,13550,13384,13981,157056,1994
4,445,Food and beverage stores,31468,31688,31700,31899,31858,32123,31964,32222,32401,32196,32370,32294,384183,1994
5,446,Health and personal care stores,7865,7729,7911,7838,7955,8014,8084,8126,8190,8214,8190,8287,96403,1994
6,447,Gasoline stations,13656,13875,13911,13867,13773,14059,14322,14685,14649,14709,14878,14885,171269,1994
7,448,Clothing and clothing access. stores,10450,10587,10806,10554,10451,10612,10672,10839,10674,11000,10983,10952,128580,1994
8,451,"Sporting goods, hobby, musical instrument, and book stores",3981,4095,4131,4035,4119,4135,4111,4249,4306,4347,4221,4255,49985,1994
9,722,Food services and drinking places,17624,18425,18813,18533,18600,18889,18962,18868,18978,19010,19028,19178,224908,1994
0,441,Motor vehicle and parts dealers,47224,45902,46681,47056,47718,49652,48832,49748,49188,49271,49863,50163,581298,1995
1,442,Furniture and home furnishings stores,5265,5081,5130,5181,5216,5217,5318,5304,5407,5429,5516,5445,63509,1995
2,443,Electronics and appliance stores,5892,5827,5849,5733,5956,6000,5965,6159,6141,6212,6263,6281,72278,1995
3,444,Building mat. and garden equip. and supplies dealers,13738,13613,13587,13415,13370,13548,13645,13683,13837,13932,14092,14683,165143,1995
4,445,Food and beverage stores,32625,32399,32415,32312,32540,32597,32466,32547,32625,32578,32744,32903,390751,1995
5,446,Health and personal care stores,8306,8304,8304,8450,8424,8482,8431,8488,8611,8584,8691,8761,101836,1995
6,447,Gasoline stations,14915,14963,14921,15021,15215,15333,15249,15227,15194,15007,14981,15246,181272,1995
7,448,Clothing and clothing access. stores,10939,10582,10850,10796,10976,10948,10824,10813,11198,10882,11269,11124,131201,1995
8,451,"Sporting goods, hobby, musical instrument, and book stores",4436,4298,4347,4345,4380,4421,4429,4462,4441,4414,4532,4505,53010,1995
9,722,Food services and drinking places,19160,18911,19234,19346,19450,19419,19489,19715,19640,19611,19609,19625,233209,1995
0,441,Motor vehicle and parts dealers,50349,52288,52348,51531,52200,51798,52004,51472,53184,53450,52710,52835,626169,1996
1,442,Furniture and home furnishings stores,5302,5346,5566,5595,5586,5678,5696,5655,5762,5779,5768,5746,67479,1996
2,443,Electronics and appliance stores,6191,6248,6365,6373,6428,6334,6234,6340,6438,6428,6356,6305,76040,1996
3,444,Building mat. and garden equip. and supplies dealers,14023,14036,14153,14340,14450,14902,14826,14981,14989,15040,15264,14980,175984,1996
4,445,Food and beverage stores,33085,32928,33076,33174,33178,33281,33470,33542,33494,33704,33734,33819,400485,1996
5,446,Health and personal care stores,8546,8782,8991,8922,9076,9072,9134,9237,9190,9363,9414,9505,109232,1996
6,447,Gasoline stations,15479,15457,15951,16252,16488,16352,16075,16066,16088,16360,16602,16759,193929,1996
7,448,Clothing and clothing access. stores,11105,11341,11376,11422,11504,11365,11316,11360,11534,11577,11318,11435,136653,1996
8,451,"Sporting goods, hobby, musical instrument, and book stores",4600,4485,4548,4628,4432,4609,4655,4738,4690,4769,4692,4940,55786,1996
9,722,Food services and drinking places,19564,19742,19862,19932,20094,19932,20145,20140,20397,20551,20789,20707,241855,1996
0,441,Motor vehicle and parts dealers,54010,54601,54233,53861,52191,54066,55255,55488,55334,54856,55314,55763,654972,1997
1,442,Furniture and home furnishings stores,5823,5847,5916,5968,6004,6034,6039,6146,6162,6154,6267,6290,72650,1997
2,443,Electronics and appliance stores,6128,6370,6360,6456,6400,6440,6525,6541,6559,6572,6628,6659,77638,1997
3,444,Building mat. and garden equip. and supplies dealers,15197,15561,15862,15709,15805,15918,15973,16027,16283,16232,16158,16356,191081,1997
4,445,Food and beverage stores,34049,33989,34156,34056,33978,33892,34106,34256,34281,34348,34230,34190,409531,1997
5,446,Health and personal care stores,9448,9649,9922,9578,9722,9916,9950,9989,10077,10058,10217,10201,118727,1997
6,447,Gasoline stations,16938,16984,16969,16613,16367,16378,16396,16682,16757,16711,16638,16536,199969,1997
7,448,Clothing and clothing access. stores,11513,11468,11623,11195,11413,11643,11735,11828,11845,11881,11936,12110,140190,1997
8,451,"Sporting goods, hobby, musical instrument, and book stores",4748,4666,4698,4725,4763,4838,4786,4745,4827,4878,5015,4915,57604,1997
9,722,Food services and drinking places,21110,21136,21171,21216,21230,21382,21689,21674,21986,21758,21504,21818,257674,1997
0,441,Motor vehicle and parts dealers,55494,54841,56135,57464,57882,59264,56320,54997,57196,59294,59817,60473,689177,1998
1,442,Furniture and home furnishings stores,6377,6342,6340,6369,6359,6426,6447,6444,6419,6504,6666,6687,77380,1998
2,443,Electronics and appliance stores,6776,6797,6788,6766,6829,6921,6960,7047,6954,6940,7000,6964,82742,1998
3,444,Building mat. and garden equip. and supplies dealers,16436,16462,16511,16716,16741,16662,16819,16828,16972,17209,17341,17702,202399,1998
4,445,Food and beverage stores,34126,34102,34275,34374,34534,34592,34856,34950,34916,35093,35140,35533,416491,1998
5,446,Health and personal care stores,10382,10406,10393,10620,10645,10672,10828,11019,10985,11106,11232,11311,129599,1998
6,447,Gasoline stations,16225,16054,15703,15798,16057,15933,16087,15851,15812,15948,16014,16399,191881,1998
7,448,Clothing and clothing access. stores,12154,12199,12164,12459,12304,12447,12559,12460,12180,12540,12736,12746,148948,1998
8,451,"Sporting goods, hobby, musical instrument, and book stores",4834,5027,5008,5036,4986,5083,5032,5057,5047,5108,5093,5154,60465,1998
9,722,Food services and drinking places,21921,22132,22251,22353,22436,22634,22570,22743,22830,23066,23157,23351,271444,1998
0,441,Motor vehicle and parts dealers,60535,61260,61641,62150,63211,63452,64509,65713,65150,64519,66269,65909,764318,1999
1,442,Furniture and home furnishings stores,6617,6767,6831,6794,6884,6986,6954,7147,7292,7324,7272,7246,84114,1999
2,443,Electronics and appliance stores,7000,7024,7116,7195,7230,7286,7378,7281,7410,7400,7350,7498,87168,1999
3,444,Building mat. and garden equip. and supplies dealers,17732,17943,17760,17791,17914,17969,18183,18341,18175,18606,18944,19125,218483,1999
4,445,Food and beverage stores,35447,35707,35652,36013,36060,35872,36126,36117,36411,36271,36300,37665,433641,1999
5,446,Health and personal care stores,11415,11498,11595,11619,11741,11837,11857,11848,11993,12155,12258,12801,142617,1999
6,447,Gasoline stations,16394,16309,16529,17115,17186,17070,17704,18135,18339,18632,18992,20095,212500,1999
7,448,Clothing and clothing access. stores,12897,12920,13075,13139,13373,13373,13270,13404,13381,13400,13416,13573,159221,1999
8,451,"Sporting goods, hobby, musical instrument, and book stores",5122,5292,5273,5277,5328,5367,5326,5290,5385,5373,5414,5455,63902,1999
9,722,Food services and drinking places,22871,23270,23250,23440,23500,23546,23508,23664,23836,24265,24421,24378,283949,1999
0,441,Motor vehicle and parts dealers,67679,69085,68433,65812,65781,66638,65205,65311,66850,66208,64645,63524,795171,2000
