NAICS_Code,NAICS,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Year,,retail,eCommerce,year
441,Motor vehicle and parts dealers,55494,54841,56135,57464,57882,59264,56320,54997,57196,59294,59817,60473,689177,1998,,1248875,570,1998
443,Electronics and appliance stores,6776,6797,6788,6766,6829,6921,6960,7047,6954,6940,7000,6964,82742,1998,,1349029,2218,1999
445,Food and beverage stores,34126,34102,34275,34374,34534,34592,34856,34950,34916,35093,35140,35533,416491,1998,,1396760,4923,2000
451,"Sporting goods, hobby, musical instrument, and book stores",4834,5027,5008,5036,4986,5083,5032,5057,5047,5108,5093,5154,60465,1998,,1435345,6214,2001
441,Motor vehicle and parts dealers,60535,61260,61641,62150,63211,63452,64509,65713,65150,64519,66269,65909,764318,1999,,1444359,8153,2002
443,Electronics and appliance stores,7000,7024,7116,7195,7230,7286,7378,7281,7410,7400,7350,7498,87168,1999,,1478560,11720,2003
445,Food and beverage stores,35447,35707,35652,36013,36060,35872,36126,36117,36411,36271,36300,37665,433641,1999,,1525854,15250,2004
451,"Sporting goods, hobby, musical instrument, and book stores",5122,5292,5273,5277,5328,5367,5326,5290,5385,5373,5414,5455,63902,1999,,1576538,18452,2005
441,Motor vehicle and parts dealers,67679,69085,68433,65812,65781,66638,65205,65311,66850,66208,64645,63524,795171,2000,,1617041,21519,2006
443,Electronics and appliance stores,7605,7674,7652,7813,7611,7435,7397,7440,7588,7416,7392,7346,90369,2000,,1650035,24639,2007
445,Food and beverage stores,35613,35980,36559,37008,36717,37175,37038,37110,37308,37476,37700,38033,443717,2000,,1539537,20494,2008
451,"Sporting goods, hobby, musical instrument, and book stores",5232,5541,5635,5649,5757,5686,5800,5633,5728,5626,5615,5601,67503,2000,,1416456,18202,2009
441,Motor vehicle and parts dealers,65926,66188,65671,66933,67039,66710,66067,66350,63929,80455,72413,68220,815901,2001,,1501103,21483,2010
443,Electronics and appliance stores,7376,7334,7267,7212,7135,7246,7298,7276,7141,7237,7662,7825,88009,2001,,1603148,24434,2011
445,Food and beverage stores,37903,38252,38133,38369,38439,38569,38506,38738,38832,38944,39161,38996,462842,2001,,1697637,26268,2012
451,"Sporting goods, hobby, musical instrument, and book stores",5386,5715,5723,5658,5679,5621,5703,5775,5672,5798,6066,5797,68593,2001,,1787909,30299,2013
441,Motor vehicle and parts dealers,67665,68168,66570,68251,65062,67354,69944,72204,68066,67553,67931,69794,818562,2002,,1877112,32094,2014
443,Electronics and appliance stores,7604,7643,7690,7616,7678,7656,7543,7520,7511,7522,7545,7660,91188,2002,,1968214,34478,2015
445,Food and beverage stores,38833,38885,38913,38568,38713,38723,38834,38647,38599,38693,38886,39072,465366,2002,,,,
451,"Sporting goods, hobby, musical instrument, and book stores",5775,5711,5717,5799,5731,5670,5666,5689,5852,5839,5985,5809,69243,2002,,,,
441,Motor vehicle and parts dealers,69673,66535,68628,69580,69660,70325,71049,72919,71184,69817,71738,70103,841211,2003,,,,
